running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227585
sample 2 correct/failed threshold, score = 0.464001
sample 3 incorrect/failed threshold, score = 0.577686
sample 4 correct/failed threshold, score = 0.722030
sample 5 correct/failed threshold, score = 0.672209
sample 6 incorrect/failed threshold, score = 0.582606
sample 7 correct, score = 0.347222
sample 8 correct/failed threshold, score = 0.523405
sample 9 correct, score = 0.337575
sample 10 incorrect/failed threshold, score = 0.638380
sample 11 correct, score = 0.313336
sample 12 correct/failed threshold, score = 0.610286
sample 13 correct, score = 0.373815
sample 14 correct, score = 0.201927
sample 15 correct, score = 0.400151
sample 16 correct, score = 0.227150
sample 17 correct/failed threshold, score = 0.560444
sample 18 correct, score = 0.347798
sample 19 incorrect/failed threshold, score = 0.658208
sample 20 correct, score = 0.319288
sample 21 incorrect/failed threshold, score = 0.669991
sample 22 correct/failed threshold, score = 0.447810
sample 23 correct, score = 0.286552
sample 24 correct, score = 0.438160
sample 25 correct/failed threshold, score = 0.635048
sample 26 incorrect/failed threshold, score = 0.583838
sample 27 incorrect/failed threshold, score = 0.682007
sample 28 tone not detected, 1 false positives, score = 0.182863
sample 29 correct/failed threshold, score = 0.487418
sample 30 incorrect/failed threshold, score = 0.598464
sample 31 correct/failed threshold, score = 0.452219
sample 32 incorrect/failed threshold, score = 0.633719
sample 33 correct/failed threshold, score = 0.508536
sample 34 correct/failed threshold, score = 0.543632
sample 35 correct/failed threshold, score = 0.491413
sample 36 correct, score = 0.304752
sample 37 correct/failed threshold, score = 0.454300
sample 38 correct/failed threshold, score = 0.530465
sample 39 incorrect/failed threshold, score = 0.649114
sample 40 incorrect/failed threshold, score = 0.711489
sample 41 tone not detected, 1 false positives, score = 0.404009
sample 42 correct/failed threshold, score = 0.544052
sample 43 correct/failed threshold, score = 0.476835
sample 44 incorrect/failed threshold, score = 0.564634
sample 45 incorrect/failed threshold, score = 0.519014
sample 46 incorrect/failed threshold, score = 0.632502
sample 47 correct/failed threshold, score = 0.571240
sample 48 correct, score = 0.435485
sample 49 correct, score = 0.174980
sample 50 correct/failed threshold, score = 0.598402
sample 51 incorrect/failed threshold, score = 0.610133
sample 52 correct, score = 0.267134
sample 53 correct, score = 0.214494
sample 54 correct, score = 0.194477
sample 55 correct/failed threshold, score = 0.539744
sample 56 correct, score = 0.346976
sample 57 correct, score = 0.306053
sample 58 correct, score = 0.228990
sample 59 correct, score = 0.356587
sample 60 correct/failed threshold, score = 0.526928
sample 61 correct, score = 0.346709
sample 62 incorrect/failed threshold, score = 0.609154
sample 63 incorrect/failed threshold, score = 0.591348
sample 64 correct/failed threshold, score = 0.538147
sample 65 correct/failed threshold, score = 0.620861
sample 66 correct, score = 0.334377
sample 67 correct, score = 0.344989
sample 68 correct, score = 0.303394
sample 69 correct, score = 0.425720
sample 70 correct, score = 0.319821
sample 71 correct, score = 0.344302
sample 72 correct, score = 0.264672
sample 73 correct/failed threshold, score = 0.531132
sample 74 correct/failed threshold, score = 0.441170
sample 75 correct, score = 0.182459
sample 76 correct, score = 0.281489
sample 77 correct/failed threshold, score = 0.523451
sample 78 correct, score = 0.339300
sample 79 correct/failed threshold, score = 0.512594
sample 80 correct, score = 0.298623
sample 81 incorrect/failed threshold, score = 0.467733
sample 82 incorrect/failed threshold, score = 0.575618
sample 83 correct, score = 0.254946
sample 84 correct, score = 0.421291
sample 85 incorrect/failed threshold, score = 0.668218
sample 86 incorrect/failed threshold, score = 0.625266
sample 87 correct, score = 0.203951
sample 88 correct/failed threshold, score = 0.585874
sample 89 correct/failed threshold, score = 0.546461
sample 90 correct/failed threshold, score = 0.456905
sample 91 correct, score = 0.378197
sample 92 correct, score = 0.288854
sample 93 incorrect/failed threshold, score = 0.714547
sample 94 correct, score = 0.372653
sample 95 correct/failed threshold, score = 0.548676
sample 96 correct, score = 0.149456
sample 97 correct, score = 0.386968
sample 98 correct/failed threshold, score = 0.556030
sample 99 incorrect/failed threshold, score = 0.590813
sample 100 incorrect/failed threshold, score = 0.620339
sample 101 incorrect/failed threshold, score = 0.583214
sample 102 correct, score = 0.271217
sample 103 incorrect/failed threshold, score = 0.572681
sample 104 correct/failed threshold, score = 0.642719
sample 105 correct/failed threshold, score = 0.449420
sample 106 correct/failed threshold, score = 0.547721
sample 107 correct/failed threshold, score = 0.625574
sample 108 correct/failed threshold, score = 0.517538
sample 109 incorrect/failed threshold, score = 0.723006
sample 110 correct/failed threshold, score = 0.585699
sample 111 correct/failed threshold, score = 0.472894
sample 112 correct/failed threshold, score = 0.479519
sample 113 correct/failed threshold, score = 0.467992
sample 114 correct, score = 0.373681
sample 115 correct/failed threshold, score = 0.532189
sample 116 incorrect/failed threshold, score = 0.758343
sample 117 incorrect/failed threshold, score = 0.458973
sample 118 correct, score = 0.377893
sample 119 correct/failed threshold, score = 0.447098
sample 120 correct/failed threshold, score = 0.595481
sample 121 incorrect/failed threshold, score = 0.571409
sample 122 correct, score = 0.409815
sample 123 incorrect/failed threshold, score = 0.623097
sample 124 incorrect/failed threshold, score = 0.696511
sample 125 incorrect/failed threshold, score = 0.614798
sample 126 correct, score = 0.382714
sample 127 correct, score = 0.205682
sample 128 correct/failed threshold, score = 0.583043
sample 129 incorrect/failed threshold, score = 0.567155
sample 130 correct, score = 0.334518
sample 131 correct/failed threshold, score = 0.505311
sample 132 correct, score = 0.125170
sample 133 correct, score = 0.152837
sample 134 correct, score = 0.311689
sample 135 correct, score = 0.070485
sample 136 correct, score = 0.327247
sample 137 correct/failed threshold, score = 0.505208
sample 138 correct/failed threshold, score = 0.636574
sample 139 correct/failed threshold, score = 0.486856
sample 140 incorrect/failed threshold, score = 0.655697
sample 141 correct, score = 0.399580
sample 142 incorrect/failed threshold, score = 0.559751
sample 143 correct, score = 0.425572
sample 144 incorrect/failed threshold, score = 0.571427
sample 145 correct, score = 0.395208
sample 146 incorrect/failed threshold, score = 0.630423
sample 147 incorrect/failed threshold, score = 0.525818
sample 148 correct/failed threshold, score = 0.595738
sample 149 correct, score = 0.414672
sample 150 correct, score = 0.345811
sample 151 correct/failed threshold, score = 0.474478
sample 152 correct/failed threshold, score = 0.482035
sample 153 correct/failed threshold, score = 0.671189
sample 154 correct, score = 0.397400
sample 155 correct, score = 0.313767
sample 156 correct, score = 0.357415
sample 157 correct, score = 0.345162
sample 158 correct/failed threshold, score = 0.468297
sample 159 correct/failed threshold, score = 0.523268
sample 160 correct, score = 0.284293
sample 161 correct/failed threshold, score = 0.573942
sample 162 correct, score = 0.127725
sample 163 correct, score = 0.249733
sample 164 correct/failed threshold, score = 0.473049
sample 165 correct, score = 0.149440
sample 166 correct/failed threshold, score = 0.530509
sample 167 correct, score = 0.358950
sample 168 incorrect/failed threshold, score = 0.567658
sample 169 correct, score = 0.188017
sample 170 correct, score = 0.178087
sample 171 correct/failed threshold, score = 0.489274
sample 172 correct/failed threshold, score = 0.556068
sample 173 incorrect/failed threshold, score = 0.616710
sample 174 correct, score = 0.328947
sample 175 correct/failed threshold, score = 0.572133
sample 176 correct, score = 0.393451
sample 177 incorrect/failed threshold, score = 0.655659
sample 178 correct/failed threshold, score = 0.455527
sample 179 correct/failed threshold, score = 0.486705
sample 180 incorrect/failed threshold, score = 0.587903
sample 181 incorrect/failed threshold, score = 0.624099
sample 182 incorrect/failed threshold, score = 0.690103
sample 183 incorrect/failed threshold, score = 0.592364
sample 184 correct, score = 0.345957
sample 185 correct, score = 0.394256
sample 186 correct, score = 0.351185
sample 187 incorrect/failed threshold, score = 0.785311
sample 188 correct/failed threshold, score = 0.571769
sample 189 correct, score = 0.229271
sample 190 correct/failed threshold, score = 0.599522
sample 191 correct/failed threshold, score = 0.515912
sample 192 incorrect/failed threshold, score = 0.528472
sample 193 correct, score = 0.430916
sample 194 tone not detected, 1 false positives, score = 0.189312
sample 195 incorrect/failed threshold, score = 0.547539
sample 196 correct/failed threshold, score = 0.616375
sample 197 incorrect/failed threshold, score = 0.549404
sample 198 incorrect/failed threshold, score = 0.626709
sample 199 correct/failed threshold, score = 0.550522
sample 200 correct/failed threshold, score = 0.516683
sample 201 incorrect/failed threshold, score = 0.608373
sample 202 incorrect/failed threshold, score = 0.631892
sample 203 incorrect/failed threshold, score = 0.514302
sample 204 correct, score = 0.408475
sample 205 correct, score = 0.369330
sample 206 correct, score = 0.163065
sample 207 correct, score = 0.439568
sample 208 correct, score = 0.325405
sample 209 incorrect/failed threshold, score = 0.672706
sample 210 correct, score = 0.212179
sample 211 correct/failed threshold, score = 0.497485
sample 212 correct/failed threshold, score = 0.626111
sample 213 incorrect/failed threshold, score = 0.597929
sample 214 correct, score = 0.239790
sample 215 correct/failed threshold, score = 0.577954
sample 216 correct, score = 0.168532
sample 217 correct/failed threshold, score = 0.557575
sample 218 correct/failed threshold, score = 0.491675
sample 219 incorrect/failed threshold, score = 0.685329
sample 220 correct/failed threshold, score = 0.668971
sample 221 correct/failed threshold, score = 0.594943
sample 222 correct/failed threshold, score = 0.556267
sample 223 correct, score = 0.389839
sample 224 correct, score = 0.359015
sample 225 correct, score = 0.174576
sample 226 correct/failed threshold, score = 0.566299
sample 227 correct, score = 0.220789
sample 228 incorrect/failed threshold, score = 0.697828
sample 229 correct/failed threshold, score = 0.647711
sample 230 correct, score = 0.417498
sample 231 correct, score = 0.246180
sample 232 correct, score = 0.237475
sample 233 correct/failed threshold, score = 0.517918
sample 234 correct, score = 0.170623
sample 235 incorrect/failed threshold, score = 0.632036
sample 236 correct, score = 0.383586
sample 237 correct/failed threshold, score = 0.746797
sample 238 correct, score = 0.261885
sample 239 incorrect/failed threshold, score = 0.512435
sample 240 incorrect/failed threshold, score = 0.589660
sample 241 incorrect/failed threshold, score = 0.560807
sample 242 correct, score = 0.393260
sample 243 correct, score = 0.320864
sample 244 correct/failed threshold, score = 0.480926
sample 245 correct, score = 0.389325
sample 246 correct, score = 0.259858
sample 247 incorrect/failed threshold, score = 0.590807
sample 248 correct, score = 0.228809
sample 249 incorrect/failed threshold, score = 0.544673
sample 250 correct/failed threshold, score = 0.565869
sample 251 correct, score = 0.425471
sample 252 correct/failed threshold, score = 0.477011
sample 253 incorrect/failed threshold, score = 0.614829
sample 254 incorrect/failed threshold, score = 0.599232
sample 255 correct, score = 0.439316
sample 256 correct, score = 0.374896
sample 257 correct, score = 0.374468
sample 258 correct/failed threshold, score = 0.535686
sample 259 correct, score = 0.402892
sample 260 correct/failed threshold, score = 0.472424
sample 261 correct, score = 0.301237
sample 262 correct/failed threshold, score = 0.552355
sample 263 correct/failed threshold, score = 0.554537
sample 264 correct/failed threshold, score = 0.482549
sample 265 correct/failed threshold, score = 0.530793
sample 266 incorrect/failed threshold, score = 0.551936
sample 267 correct, score = 0.415832
sample 268 correct/failed threshold, score = 0.654723
sample 269 incorrect/failed threshold, score = 0.601608
sample 270 correct, score = 0.237451
sample 271 correct, score = 0.384785
sample 272 correct, score = 0.264962
sample 273 correct/failed threshold, score = 0.443491
sample 274 incorrect/failed threshold, score = 0.600333
sample 275 correct, score = 0.325754
sample 276 incorrect/failed threshold, score = 0.534720
sample 277 correct/failed threshold, score = 0.610054
sample 278 correct/failed threshold, score = 0.496006
sample 279 correct, score = 0.343325
sample 280 incorrect/failed threshold, score = 0.589258
sample 281 correct, score = 0.193596
sample 282 correct/failed threshold, score = 0.588308
sample 283 correct with 1 false positives, score = 0.337425
sample 284 correct/failed threshold, score = 0.569388
sample 285 correct/failed threshold, score = 0.647455
sample 286 incorrect/failed threshold, score = 0.678853
sample 287 correct/failed threshold, score = 0.549344
sample 288 correct/failed threshold, score = 0.554825
sample 289 correct, score = 0.324213
sample 290 correct/failed threshold, score = 0.477653
sample 291 correct, score = 0.414169
sample 292 incorrect/failed threshold, score = 0.562364
sample 293 correct, score = 0.329938
sample 294 correct, score = 0.162739
sample 295 correct/failed threshold, score = 0.522246
sample 296 correct/failed threshold, score = 0.596962
sample 297 correct, score = 0.252212
sample 298 correct/failed threshold, score = 0.493979
sample 299 incorrect/failed threshold, score = 0.683204
sample 300 incorrect/failed threshold, score = 0.684092
sample 301 correct, score = 0.233975
sample 302 correct/failed threshold, score = 0.597188
sample 303 correct, score = 0.393686
sample 304 correct, score = 0.438948
sample 305 incorrect/failed threshold, score = 0.648115
sample 306 correct/failed threshold, score = 0.445025
sample 307 incorrect/failed threshold, score = 0.579384
sample 308 correct, score = 0.274762
sample 309 correct/failed threshold, score = 0.545627
sample 310 incorrect/failed threshold, score = 0.568039
sample 311 correct/failed threshold, score = 0.451263
sample 312 correct/failed threshold, score = 0.519624
sample 313 correct, score = 0.417336
sample 314 incorrect/failed threshold, score = 0.688695
sample 315 incorrect/failed threshold, score = 0.611966
sample 316 correct, score = 0.379588
sample 317 correct/failed threshold, score = 0.545791
sample 318 correct/failed threshold, score = 0.506890
sample 319 correct/failed threshold, score = 0.635324
sample 320 incorrect/failed threshold, score = 0.615902
sample 321 correct, score = 0.219114
sample 322 correct, score = 0.425978
sample 323 correct, score = 0.302495
sample 324 correct/failed threshold, score = 0.564528
sample 325 incorrect/failed threshold, score = 0.593075
sample 326 incorrect/failed threshold, score = 0.637525
sample 327 correct, score = 0.087933
sample 328 correct, score = 0.405204
sample 329 correct/failed threshold, score = 0.563067
sample 330 correct, score = 0.413678
sample 331 incorrect/failed threshold, score = 0.567596
sample 332 correct, score = 0.369716
sample 333 incorrect/failed threshold, score = 0.617844
sample 334 correct, score = 0.157150
sample 335 incorrect/failed threshold, score = 0.579641
sample 336 correct/failed threshold, score = 0.523451
sample 337 incorrect/failed threshold, score = 0.707515
sample 338 correct, score = 0.303333
sample 339 incorrect/failed threshold, score = 0.604426
sample 340 incorrect/failed threshold, score = 0.614588
sample 341 correct, score = 0.141653
sample 342 incorrect/failed threshold, score = 0.555430
sample 343 correct/failed threshold, score = 0.521870
sample 344 correct/failed threshold, score = 0.518540
sample 345 correct/failed threshold, score = 0.524648
sample 346 incorrect/failed threshold, score = 0.568304
sample 347 incorrect/failed threshold, score = 0.623038
sample 348 incorrect/failed threshold, score = 0.707228
sample 349 tone not detected, 1 false positives, score = 0.314723
sample 350 incorrect/failed threshold, score = 0.573047
sample 351 incorrect/failed threshold, score = 0.591385
sample 352 incorrect/failed threshold, score = 0.626182
sample 353 incorrect/failed threshold, score = 0.675583
sample 354 incorrect/failed threshold, score = 0.596586
sample 355 incorrect/failed threshold, score = 0.562025
sample 356 correct/failed threshold, score = 0.448402
sample 357 correct, score = 0.353885
sample 358 correct, score = 0.132437
sample 359 correct/failed threshold, score = 0.494576
sample 360 incorrect/failed threshold, score = 0.568259
sample 361 correct/failed threshold, score = 0.591545
sample 362 incorrect/failed threshold, score = 0.581722
sample 363 correct, score = 0.166787
sample 364 correct/failed threshold, score = 0.617808
sample 365 correct/failed threshold, score = 0.479020
sample 366 correct, score = 0.277376
sample 367 correct, score = 0.397180
sample 368 incorrect/failed threshold, score = 0.622866
sample 369 correct/failed threshold, score = 0.558484
sample 370 correct, score = 0.306568
sample 371 correct/failed threshold, score = 0.453461
sample 372 correct/failed threshold, score = 0.490730
sample 373 incorrect/failed threshold, score = 0.619758
sample 374 incorrect/failed threshold, score = 0.633667
sample 375 correct/failed threshold, score = 0.582677
sample 376 correct, score = 0.297854
sample 377 correct, score = 0.385086
sample 378 correct, score = 0.434001
sample 379 incorrect/failed threshold, score = 0.577268
