running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227369
sample 2 correct, score = 0.463043
sample 3 no tones detected, score = 0.579177
sample 4 correct/failed threshold, score = 0.722620
sample 5 correct/failed threshold, score = 0.672010
sample 6 incorrect/failed threshold, score = 0.582672
sample 7 correct, score = 0.346364
sample 8 correct, score = 0.536630
sample 9 correct, score = 0.336754
sample 10 incorrect/failed threshold, score = 0.636419
sample 11 correct, score = 0.317088
sample 12 correct/failed threshold, score = 0.608610
sample 13 correct, score = 0.372184
sample 14 correct, score = 0.200611
sample 15 correct, score = 0.400018
sample 16 correct, score = 0.225091
sample 17 correct, score = 0.559511
sample 18 correct, score = 0.347124
sample 19 incorrect/failed threshold, score = 0.663730
sample 20 correct, score = 0.316970
sample 21 incorrect/failed threshold, score = 0.669996
sample 22 correct, score = 0.446623
sample 23 correct, score = 0.283544
sample 24 correct, score = 0.440101
sample 25 correct/failed threshold, score = 0.634734
sample 26 incorrect/failed threshold, score = 0.583792
sample 27 incorrect/failed threshold, score = 0.681950
sample 28 tone not detected, 1 false positives, score = 0.185942
sample 29 correct, score = 0.486923
sample 30 incorrect/failed threshold, score = 0.599071
sample 31 correct, score = 0.451695
sample 32 incorrect/failed threshold, score = 0.633766
sample 33 correct, score = 0.509842
sample 34 correct, score = 0.543042
sample 35 correct, score = 0.487816
sample 36 correct, score = 0.301299
sample 37 correct, score = 0.453318
sample 38 correct, score = 0.529549
sample 39 incorrect/failed threshold, score = 0.648919
sample 40 incorrect/failed threshold, score = 0.711311
sample 41 tone not detected, 1 false positives, score = 0.402602
sample 42 correct, score = 0.543909
sample 43 correct, score = 0.476673
sample 44 tone not detected, 1 false positives, score = 0.564418
sample 45 tone not detected, 1 false positives, score = 0.518663
sample 46 incorrect/failed threshold, score = 0.632327
sample 47 correct, score = 0.569199
sample 48 correct, score = 0.435117
sample 49 correct, score = 0.173168
sample 50 correct/failed threshold, score = 0.597884
sample 51 incorrect/failed threshold, score = 0.610209
sample 52 correct, score = 0.267709
sample 53 correct, score = 0.214369
sample 54 correct, score = 0.193213
sample 55 correct, score = 0.539654
sample 56 correct, score = 0.344232
sample 57 correct, score = 0.305496
sample 58 correct, score = 0.226616
sample 59 correct, score = 0.356131
sample 60 correct, score = 0.536996
sample 61 correct, score = 0.344934
sample 62 incorrect/failed threshold, score = 0.609052
sample 63 incorrect/failed threshold, score = 0.590788
sample 64 correct, score = 0.539968
sample 65 correct/failed threshold, score = 0.620398
sample 66 correct, score = 0.332088
sample 67 correct, score = 0.344110
sample 68 correct, score = 0.305787
sample 69 correct, score = 0.425409
sample 70 correct, score = 0.313312
sample 71 correct, score = 0.343671
sample 72 correct, score = 0.259952
sample 73 correct, score = 0.531269
sample 74 correct, score = 0.440650
sample 75 correct, score = 0.189616
sample 76 correct, score = 0.277723
sample 77 correct, score = 0.522251
sample 78 correct, score = 0.342324
sample 79 correct, score = 0.505408
sample 80 correct, score = 0.300622
sample 81 tone not detected, 1 false positives, score = 0.467369
sample 82 incorrect/failed threshold, score = 0.584265
sample 83 correct, score = 0.253228
sample 84 correct, score = 0.420673
sample 85 incorrect/failed threshold, score = 0.668165
sample 86 incorrect/failed threshold, score = 0.625155
sample 87 correct, score = 0.202298
sample 88 correct/failed threshold, score = 0.585130
sample 89 correct, score = 0.543289
sample 90 correct, score = 0.455105
sample 91 correct, score = 0.379626
sample 92 correct, score = 0.287521
sample 93 incorrect/failed threshold, score = 0.714473
sample 94 correct, score = 0.371314
sample 95 correct, score = 0.547904
sample 96 correct, score = 0.150417
sample 97 correct, score = 0.386409
sample 98 correct, score = 0.553571
sample 99 incorrect/failed threshold, score = 0.590438
sample 100 incorrect/failed threshold, score = 0.620844
sample 101 incorrect/failed threshold, score = 0.583127
sample 102 correct, score = 0.270655
sample 103 no tones detected, score = 0.572682
sample 104 correct/failed threshold, score = 0.640017
sample 105 correct, score = 0.446407
sample 106 correct, score = 0.546813
sample 107 correct/failed threshold, score = 0.625116
sample 108 correct, score = 0.516480
sample 109 incorrect/failed threshold, score = 0.724933
sample 110 correct/failed threshold, score = 0.585573
sample 111 correct, score = 0.469500
sample 112 correct, score = 0.477434
sample 113 correct, score = 0.468797
sample 114 correct, score = 0.373714
sample 115 correct, score = 0.530808
sample 116 incorrect/failed threshold, score = 0.758823
sample 117 tone not detected, 1 false positives, score = 0.462057
sample 118 correct, score = 0.377831
sample 119 correct, score = 0.446936
sample 120 correct/failed threshold, score = 0.595163
sample 121 no tones detected, score = 0.571892
sample 122 correct, score = 0.409547
sample 123 incorrect/failed threshold, score = 0.623841
sample 124 incorrect/failed threshold, score = 0.695633
sample 125 incorrect/failed threshold, score = 0.617448
sample 126 correct, score = 0.382302
sample 127 correct, score = 0.200649
sample 128 correct/failed threshold, score = 0.582606
sample 129 no tones detected, score = 0.568707
sample 130 correct, score = 0.334169
sample 131 correct, score = 0.505404
sample 132 correct, score = 0.128029
sample 133 correct, score = 0.149984
sample 134 correct, score = 0.311948
sample 135 correct, score = 0.068474
sample 136 correct, score = 0.335942
sample 137 correct, score = 0.505444
sample 138 correct/failed threshold, score = 0.639778
sample 139 correct, score = 0.495093
sample 140 incorrect/failed threshold, score = 0.659019
sample 141 correct, score = 0.399283
sample 142 no tones detected, score = 0.560515
sample 143 correct, score = 0.424874
sample 144 no tones detected, score = 0.572044
sample 145 correct, score = 0.394680
sample 146 incorrect/failed threshold, score = 0.630612
sample 147 no tones detected, score = 0.526649
sample 148 correct/failed threshold, score = 0.595339
sample 149 correct, score = 0.410634
sample 150 correct, score = 0.343396
sample 151 correct, score = 0.475339
sample 152 correct, score = 0.481268
sample 153 correct/failed threshold, score = 0.669906
sample 154 correct, score = 0.397032
sample 155 correct, score = 0.311094
sample 156 correct, score = 0.356541
sample 157 correct, score = 0.344698
sample 158 correct, score = 0.467174
sample 159 correct, score = 0.521232
sample 160 correct, score = 0.284830
sample 161 correct/failed threshold, score = 0.582817
sample 162 correct, score = 0.130344
sample 163 correct, score = 0.251569
sample 164 correct, score = 0.472856
sample 165 correct, score = 0.148565
sample 166 correct, score = 0.531393
sample 167 correct, score = 0.358201
sample 168 tone not detected, 2 false positives, score = 0.570661
sample 169 correct, score = 0.188250
sample 170 correct, score = 0.174993
sample 171 correct, score = 0.489029
sample 172 correct, score = 0.555541
