running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227585
sample 2 correct, score = 0.464001
sample 3 no tones detected, score = 0.660863
sample 4 correct/failed threshold, score = 0.722030
sample 5 correct, score = 0.672209
sample 6 incorrect/failed threshold, score = 0.744006
sample 7 correct, score = 0.347222
sample 8 correct, score = 0.523405
sample 9 correct, score = 0.337575
sample 10 incorrect/failed threshold, score = 1.080847
sample 11 correct, score = 0.313336
sample 12 correct, score = 0.610286
sample 13 correct, score = 0.373815
sample 14 correct, score = 0.201927
sample 15 correct, score = 0.400151
sample 16 correct, score = 0.227150
sample 17 correct, score = 0.560444
sample 18 correct, score = 0.347798
sample 19 incorrect/failed threshold, score = 0.757622
sample 20 correct, score = 0.319288
sample 21 incorrect/failed threshold, score = 0.730321
sample 22 correct, score = 0.447810
sample 23 correct, score = 0.286552
sample 24 correct, score = 0.438160
sample 25 correct, score = 0.635048
sample 26 incorrect/failed threshold, score = 0.734607
sample 27 incorrect/failed threshold, score = 0.985510
sample 28 incorrect/failed threshold, score = 1.280538
sample 29 correct, score = 0.487418
sample 30 incorrect/failed threshold, score = 0.855084
sample 31 correct, score = 0.452219
sample 32 correct with 1 false positives, score = 0.691730
sample 33 correct, score = 0.508536
sample 34 correct, score = 0.543632
sample 35 correct, score = 0.491413
sample 36 correct, score = 0.304752
sample 37 correct, score = 0.454300
sample 38 correct, score = 0.530465
sample 39 incorrect/failed threshold, score = 0.757672
sample 40 incorrect/failed threshold, score = 1.016536
sample 41 incorrect/failed threshold, score = 1.220342
sample 42 correct, score = 0.544052
sample 43 correct, score = 0.476835
sample 44 incorrect/failed threshold, score = 0.850981
sample 45 incorrect/failed threshold, score = 0.908194
sample 46 incorrect/failed threshold, score = 1.011913
sample 47 correct, score = 0.571240
sample 48 correct, score = 0.435485
sample 49 correct, score = 0.174980
sample 50 correct, score = 0.598402
sample 51 no tones detected, score = 0.618867
sample 52 correct, score = 0.267134
sample 53 correct, score = 0.214494
sample 54 correct, score = 0.194477
sample 55 correct, score = 0.539744
sample 56 correct, score = 0.346976
sample 57 correct, score = 0.306053
sample 58 correct, score = 0.228990
sample 59 correct, score = 0.356587
sample 60 correct, score = 0.526928
sample 61 correct, score = 0.346709
