running on 6718 samples
training model...
trained model...
sample 1 correct, score = 0.227369
sample 2 correct/failed threshold, score = 0.463043
sample 3 incorrect/failed threshold, score = 0.658393
sample 4 correct/failed threshold, score = 0.722620
sample 5 correct/failed threshold, score = 0.672010
sample 6 incorrect/failed threshold, score = 0.743868
sample 7 correct, score = 0.346364
sample 8 correct/failed threshold, score = 0.536630
sample 9 correct, score = 0.336754
sample 10 incorrect/failed threshold, score = 1.086711
sample 11 correct, score = 0.317088
sample 12 correct/failed threshold, score = 0.608610
sample 13 correct, score = 0.372184
sample 14 correct, score = 0.200611
sample 15 correct/failed threshold, score = 0.400018
sample 16 correct, score = 0.225091
sample 17 correct/failed threshold, score = 0.559511
sample 18 correct, score = 0.347124
sample 19 incorrect/failed threshold, score = 0.759773
sample 20 correct, score = 0.316970
sample 21 incorrect/failed threshold, score = 0.730280
sample 22 correct/failed threshold, score = 0.446623
sample 23 correct, score = 0.283544
sample 24 correct/failed threshold, score = 0.440101
sample 25 correct/failed threshold, score = 0.634734
sample 26 incorrect/failed threshold, score = 0.734442
sample 27 incorrect/failed threshold, score = 0.984276
sample 28 incorrect/failed threshold, score = 1.278062
sample 29 correct/failed threshold, score = 0.486923
sample 30 incorrect/failed threshold, score = 0.854071
sample 31 correct/failed threshold, score = 0.451695
sample 32 incorrect/failed threshold, score = 0.691581
sample 33 correct/failed threshold, score = 0.509842
sample 34 correct/failed threshold, score = 0.543042
sample 35 correct/failed threshold, score = 0.487816
sample 36 correct, score = 0.301299
sample 37 correct/failed threshold, score = 0.453318
sample 38 correct/failed threshold, score = 0.529549
sample 39 incorrect/failed threshold, score = 0.756794
sample 40 incorrect/failed threshold, score = 1.014993
sample 41 incorrect/failed threshold, score = 1.220638
sample 42 correct/failed threshold, score = 0.543909
sample 43 correct/failed threshold, score = 0.476673
sample 44 incorrect/failed threshold, score = 0.851169
sample 45 incorrect/failed threshold, score = 0.908995
sample 46 incorrect/failed threshold, score = 1.009955
sample 47 correct/failed threshold, score = 0.569199
sample 48 correct/failed threshold, score = 0.435117
sample 49 correct, score = 0.173168
sample 50 correct/failed threshold, score = 0.597884
sample 51 incorrect/failed threshold, score = 0.618629
sample 52 correct, score = 0.267709
sample 53 correct, score = 0.214369
sample 54 correct, score = 0.193213
sample 55 correct/failed threshold, score = 0.539654
sample 56 correct, score = 0.344232
sample 57 correct, score = 0.305496
sample 58 correct, score = 0.226616
sample 59 correct, score = 0.356131
sample 60 correct/failed threshold, score = 0.536996
sample 61 correct, score = 0.344934
sample 62 incorrect/failed threshold, score = 0.714471
sample 63 incorrect/failed threshold, score = 0.869720
sample 64 correct/failed threshold, score = 0.539968
sample 65 correct/failed threshold, score = 0.620398
sample 66 correct, score = 0.332088
sample 67 correct, score = 0.344110
sample 68 correct, score = 0.305787
sample 69 correct/failed threshold, score = 0.425409
sample 70 correct, score = 0.313312
sample 71 correct, score = 0.343671
sample 72 correct, score = 0.259952
sample 73 correct/failed threshold, score = 0.531269
sample 74 correct/failed threshold, score = 0.440650
sample 75 correct, score = 0.189616
sample 76 correct, score = 0.277723
sample 77 correct/failed threshold, score = 0.522251
sample 78 correct, score = 0.342324
sample 79 correct/failed threshold, score = 1.288987
sample 80 correct, score = 0.300622
sample 81 incorrect/failed threshold, score = 0.951526
sample 82 incorrect/failed threshold, score = 1.161614
sample 83 correct, score = 0.253228
sample 84 correct/failed threshold, score = 0.420673
sample 85 incorrect/failed threshold, score = 0.751624
sample 86 incorrect/failed threshold, score = 0.801081
sample 87 correct, score = 0.202298
sample 88 correct/failed threshold, score = 0.585130
sample 89 correct/failed threshold, score = 0.543289
sample 90 correct/failed threshold, score = 0.455105
sample 91 correct, score = 0.379626
sample 92 correct, score = 0.287521
sample 93 incorrect/failed threshold, score = 0.751260
